Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Age_band_of_casualty,Cause_of_accident,Accident_severity
Over 51,Employee,Below 1yr,Residential areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Driver or rider,18-30,Other,Slight Injury
Over 51,Unknown,,Residential areas,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,na,na,Driving carelessly,Slight Injury
Over 51,Employee,Below 1yr, Outside rural areas,other,No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
31-50,Employee,Below 1yr,Residential areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving carelessly,Slight Injury
31-50,Unknown,, Church areas,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,31-50,Changing lane to the left,Slight Injury
18-30,Employee,2-5yr,Office areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,18-30,No priority to vehicle,Slight Injury
18-30,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Under 18,No distancing,Slight Injury
18-30,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Under 18,Changing lane to the right,Slight Injury
31-50,Employee,5-10yr,Other,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Changing lane to the right,Serious Injury
31-50,Employee,1-2yr,Other,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving at high speed,Slight Injury
31-50,Employee,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,No distancing,Slight Injury
18-30,Employee,Below 1yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Rollover,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,2-5yr,Other,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
18-30,Owner,1-2yr,Other,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Over 51,Getting off the vehicle improperly,Slight Injury
31-50,Employee,5-10yr,Other,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Other,Slight Injury
Over 51,Employee,2-5yr,Other,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,31-50,Other,Slight Injury
31-50,Owner,5-10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,31-50,No distancing,Slight Injury
31-50,Employee,Above 10yr, Church areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,3,Going straight,na,na,No priority to vehicle,Slight Injury
18-30,Employee,5-10yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Passenger,18-30,Overtaking,Slight Injury
18-30,Employee,5-10yr, Industrial areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,31-50,No priority to pedestrian,Slight Injury
31-50,Employee,5-10yr,Residential areas,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury
18-30,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
Over 51,,1-2yr,Office areas,Two-way (divided with broken lines road marking),Unknown,Gravel roads,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Driving carelessly,Slight Injury
18-30,Employee,2-5yr, Industrial areas,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
31-50,Employee,1-2yr, Industrial areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Overtaking,Slight Injury
31-50,,,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Under 18,Other,Slight Injury
31-50,Employee,5-10yr, Hospital areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving to the left,Slight Injury
Unknown,Employee,5-10yr,Office areas,One way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Over 51,Driving at high speed,Slight Injury
31-50,Employee,Above 10yr, Church areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,31-50,Unknown,Slight Injury
31-50,Employee,2-5yr, Hospital areas,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,31-50,Changing lane to the right,Slight Injury
18-30,Owner,Above 10yr,Office areas,other,O Shape,,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,Driver or rider,18-30,No distancing,Slight Injury
18-30,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Other,Slight Injury
31-50,Other,5-10yr,Office areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,No priority to vehicle,Slight Injury
18-30,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Crossing,,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,18-30,Changing lane to the left,Slight Injury
31-50,Unknown,5-10yr,Other,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,No priority to pedestrian,Slight Injury
31-50,Employee,5-10yr,Office areas,Undivided Two way,No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,18-30,Overtaking,Slight Injury
31-50,Employee,Above 10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,Over 51,Driving carelessly,Slight Injury
31-50,,Below 1yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,No priority to vehicle,Slight Injury
31-50,Employee,5-10yr,Office areas,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,31-50,No priority to pedestrian,Slight Injury
Over 51,Employee,1-2yr,Office areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,31-50,Changing lane to the right,Serious Injury
Over 51,Unknown,,Office areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,Driving carelessly,Slight Injury
31-50,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
Under 18,Owner,2-5yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
31-50,Employee,1-2yr, Industrial areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,31-50,Changing lane to the left,Serious Injury
31-50,Employee,1-2yr,Office areas,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,18-30,Overturning,Serious Injury
Over 51,Owner,2-5yr, Church areas,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,1,2,Going straight,na,na,Driving carelessly,Slight Injury
Over 51,Unknown,,Office areas,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,Pedestrian,Under 18,No distancing,Slight Injury
Over 51,Owner,2-5yr,Office areas,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,2,3,Going straight,Driver or rider,18-30,Driving carelessly,Slight Injury
Over 51,Employee,1-2yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,Changing lane to the left,Slight Injury
31-50,Owner,5-10yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Reversing,na,na,No priority to vehicle,Slight Injury
18-30,Employee,Below 1yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Changing lane to the right,Serious Injury
18-30,Employee,2-5yr,Office areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Serious Injury
31-50,Employee,5-10yr,Office areas,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,18-30,Moving Backward,Fatal injury
31-50,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Moving Backward,Fatal injury
18-30,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,No distancing,Slight Injury
18-30,Owner,Above 10yr,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,No distancing,Slight Injury
Over 51,Employee,1-2yr, Church areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,18-30,No distancing,Slight Injury
Over 51,Employee,5-10yr, Church areas,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No priority to pedestrian,Slight Injury
18-30,Employee,2-5yr,Residential areas,Double carriageway (median),Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Driving carelessly,Slight Injury
18-30,Employee,2-5yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Changing lane to the right,Slight Injury
31-50,Employee,2-5yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
18-30,Employee,2-5yr,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,31-50,Driving carelessly,Slight Injury
Over 51,Employee,Above 10yr, Church areas,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Over 51,Driving carelessly,Slight Injury
18-30,Employee,Above 10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,31-50,No distancing,Slight Injury
31-50,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Other,Slight Injury
18-30,Employee,,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,Changing lane to the right,Slight Injury
18-30,Employee,5-10yr,,,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Parked,Driver or rider,18-30,No distancing,Slight Injury
Over 51,Employee,5-10yr,Residential areas,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,Above 10yr, Church areas,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,18-30,Overturning,Slight Injury
Under 18,Employee,5-10yr,Other,Undivided Two way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,Driving at high speed,Serious Injury
Under 18,Employee,Above 10yr,Other,One way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,Driver or rider,31-50,No priority to vehicle,Serious Injury
Under 18,Employee,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,No priority to pedestrian,Serious Injury
Under 18,Employee,5-10yr,Office areas,One way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,na,na,No priority to vehicle,Serious Injury
Over 51,Employee,1-2yr, Industrial areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,Other,Slight Injury
31-50,Employee,5-10yr,Residential areas,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,18-30,Other,Slight Injury
31-50,Employee,5-10yr,Office areas,Unknown,Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Moving Backward,Slight Injury
18-30,Employee,2-5yr,Other,,Crossing,Asphalt roads,Daylight,Normal,Rollover,2,1,Unknown,na,na,No distancing,Slight Injury
31-50,Employee,5-10yr, Church areas,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,18-30,Moving Backward,Slight Injury
31-50,Unknown,5-10yr, Industrial areas,,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Under 18,No priority to vehicle,Slight Injury
18-30,Employee,Above 10yr,  Recreational areas,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,18-30,Driving carelessly,Slight Injury
Unknown,Employee,Above 10yr,  Market areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Turnover,na,na,No distancing,Slight Injury
18-30,Employee,Below 1yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,Other,Slight Injury
18-30,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
18-30,Owner,5-10yr, Industrial areas,Two-way (divided with broken lines road marking),Crossing,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Unknown,na,na,No distancing,Slight Injury
31-50,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,18-30,Driving carelessly,Slight Injury
18-30,Employee,Above 10yr,Office areas,other,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury
18-30,Employee,2-5yr,,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Over 51,No priority to vehicle,Slight Injury
31-50,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,Below 1yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Reversing,Driver or rider,18-30,No priority to pedestrian,Slight Injury
18-30,Employee,2-5yr,Other,other,Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Passenger,18-30,No priority to vehicle,Serious Injury
Under 18,Employee,5-10yr,Other,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Over 51,Changing lane to the left,Slight Injury
Over 51,Employee,5-10yr,Other,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Turnover,Slight Injury
31-50,Employee,1-2yr,Other,other,No junction,Other,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Pedestrian,Under 18,Driving to the left,Slight Injury
18-30,Employee,,Residential areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Reversing,na,na,Driving carelessly,Slight Injury
18-30,Employee,1-2yr, Church areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,3,Going straight,Driver or rider,18-30,Driving to the left,Slight Injury
18-30,Employee,5-10yr,Office areas,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,1,3,Going straight,Passenger,Under 18,Driving carelessly,Slight Injury
31-50,Owner,1-2yr, Church areas,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,na,na,No priority to pedestrian,Slight Injury
Under 18,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Over 51,Driving carelessly,Slight Injury
18-30,Employee,2-5yr,,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,Driver or rider,31-50,Changing lane to the right,Slight Injury
31-50,Employee,2-5yr,School areas,other,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Over 51,Moving Backward,Serious Injury
18-30,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Over 51,Driving carelessly,Slight Injury
31-50,Owner,Below 1yr,Other,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Reversing,na,na,Changing lane to the right,Slight Injury
31-50,Employee,Below 1yr,Office areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Driving carelessly,Serious Injury
31-50,Employee,,Other,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Passenger,Under 18,Driving carelessly,Serious Injury
Under 18,Employee,Below 1yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,1,2,Going straight,Pedestrian,31-50,Driving carelessly,Serious Injury
Under 18,Employee,2-5yr,Office areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,1,2,Parked,na,na,Changing lane to the right,Serious Injury
18-30,Employee,2-5yr,Other,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,1,4,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,5-10yr, Church areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,1,4,Going straight,Driver or rider,31-50,Driving carelessly,Slight Injury
